No,No,大項目,中項目,小項目
0,1,営業,IT営業,IT法人営業（直販）
1,2,営業,IT営業,IT法人営業（代理店）
2,3,営業,IT営業,Web系ソリューション営業
3,4,営業,IT営業,IT個人営業
4,5,営業,半導体・電子部品・エレクトロニクス製品営業,半導体・電子部品・エレクトロニクス製品営業（国内）
5,6,営業,半導体・電子部品・エレクトロニクス製品営業,半導体・電子部品・エレクトロニクス製品営業（海外）
6,7,営業,自動車・装置・機械製品営業,装置・工作機械・産業機械営業（国内）
7,8,営業,自動車・装置・機械製品営業,装置・工作機械・産業機械営業（海外）
8,9,営業,自動車・装置・機械製品営業,精密機械・計測機器・分析機器・光学製品営業（国内）
9,10,営業,自動車・装置・機械製品営業,精密機械・計測機器・分析機器・光学製品営業（海外）
10,11,営業,自動車・装置・機械製品営業,自動車・建機・自動車部品営業（国内）
11,12,営業,自動車・装置・機械製品営業,自動車・建機・自動車部品営業（海外）
12,13,営業,原料・素材・化学製品営業,原料・素材・化学製品営業（国内）
13,14,営業,原料・素材・化学製品営業,原料・素材・化学製品営業（海外）
14,15,営業,医療営業,MR
15,16,営業,医療営業,医療機器営業
16,17,営業,医療営業,OTC（一般用医薬品）
17,18,営業,医療営業,MS・医薬品卸・代理店
18,19,営業,医療営業,ライフサイエンス（理化学機器・試薬）
19,20,営業,医療営業,その他医療系営業
20,21,営業,食品・日用品・消費財営業,食品・飲料営業（国内）
21,22,営業,食品・日用品・消費財営業,日用品・化粧品営業（国内）
22,23,営業,食品・日用品・消費財営業,その他消費財営業（国内）
23,24,営業,食品・日用品・消費財営業,食品・飲料・日用品・化粧品・その他消費財営業（海外）
24,25,営業,建設・土木・不動産・住宅営業,建設・不動産法人営業
25,26,営業,建設・土木・不動産・住宅営業,建設・不動産個人営業
26,27,営業,金融営業,金融法人営業
27,28,営業,金融営業,金融個人営業・ファイナンシャルプランナー
28,29,営業,広告・メディア営業,広告・メディア法人営業（新規中心）
29,30,営業,広告・メディア営業,広告・メディア法人営業（既存・ルートセールス中心）
30,31,営業,広告・メディア営業,広告・メディア代理店営業・パートナーセールス
31,32,営業,広告・メディア営業,広告・メディア個人営業
32,33,営業,広告・メディア営業,広告・メディア海外営業
33,34,営業,人材・求人広告営業,派遣営業
34,35,営業,人材・求人広告営業,派遣コーディネーター
35,36,営業,人材・求人広告営業,人材紹介営業
36,37,営業,人材・求人広告営業,求人広告営業
37,38,営業,人材・求人広告営業,キャリアコンサルタント・キャリアアドバイザー
38,39,営業,人材・求人広告営業,ブティック・エグゼクティブ
39,40,営業,人材・求人広告営業,その他人材・コーディネーター・求人広告営業
40,41,営業,その他営業職,その他法人営業（新規中心）
41,42,営業,その他営業職,その他法人営業（既存・ルートセールス中心）
42,43,営業,その他営業職,その他代理店営業・パートナーセールス
43,44,営業,その他営業職,その他個人営業
44,45,営業,その他営業職,その他海外営業
45,46,企画・管理,マーケティング・商品企画・広告宣伝,商品企画・サービス企画
46,47,企画・管理,マーケティング・商品企画・広告宣伝,広告宣伝
47,48,企画・管理,マーケティング・商品企画・広告宣伝,販売促進・PR
48,49,企画・管理,マーケティング・商品企画・広告宣伝,MD
49,50,企画・管理,マーケティング・商品企画・広告宣伝,Webマーケティング（ネット広告・販促PRなど）
50,51,企画・管理,マーケティング・商品企画・広告宣伝,その他マーケティング・商品企画・広告宣伝
51,52,企画・管理,経理・財務・管理会計・内部統制,経理（財務会計）
52,53,企画・管理,経理・財務・管理会計・内部統制,財務
53,54,企画・管理,経理・財務・管理会計・内部統制,管理会計
54,55,企画・管理,経理・財務・管理会計・内部統制,内部統制
55,56,企画・管理,総務・法務・知財・内部監査,総務
56,57,企画・管理,総務・法務・知財・内部監査,法務
57,58,企画・管理,総務・法務・知財・内部監査,知的財産・特許
58,59,企画・管理,総務・法務・知財・内部監査,内部監査
59,60,企画・管理,購買・物流・貿易,購買・調達・バイヤー・MD
60,61,企画・管理,購買・物流・貿易,間接購買・総務購買
61,62,企画・管理,購買・物流・貿易,物流管理（ベンダー管理・配送管理・受発注管理など）
62,63,企画・管理,購買・物流・貿易,SCM企画・物流企画・需要予測
63,64,企画・管理,購買・物流・貿易,貿易業務（輸出入業務・通関など）
64,65,企画・管理,購買・物流・貿易,倉庫管理・在庫管理
65,66,企画・管理,データアナリスト・データサイエンティスト・リサーチャー,リサーチ・市場調査
66,67,企画・管理,データアナリスト・データサイエンティスト・リサーチャー,データアナリスト・データサイエンティスト
67,68,企画・管理,役員・事業統括マネジャー,経営幹部・役員（CFO／CEO／COO）
68,69,企画・管理,役員・事業統括マネジャー,事業統括マネジャー
69,70,企画・管理,経営企画・事業企画・営業企画,経営企画
70,71,企画・管理,経営企画・事業企画・営業企画,事業企画・新規事業開発
71,72,企画・管理,経営企画・事業企画・営業企画,営業企画
72,73,企画・管理,広報・IR,広報
73,74,企画・管理,広報・IR,IR
74,75,企画・管理,人事,人事（採用・教育）
75,76,企画・管理,人事,人事（給与社保）
76,77,企画・管理,人事,人事（労務・人事制度）
77,78,企画・管理,人事,その他人事
78,79,事務／アシスタント,経理事務・財務アシスタント,経理事務・財務アシスタント
79,80,事務／アシスタント,総務・法務・知財・人事アシスタント,総務アシスタント
80,81,事務／アシスタント,総務・法務・知財・人事アシスタント,法務アシスタント
81,82,事務／アシスタント,総務・法務・知財・人事アシスタント,人事アシスタント
82,83,事務／アシスタント,購買・物流・貿易アシスタント,物流・購買アシスタント
83,84,事務／アシスタント,購買・物流・貿易アシスタント,貿易事務
84,85,事務／アシスタント,経営企画／事業統括,マーケティング・広報アシスタント
85,86,事務／アシスタント,経営企画／事業統括,経営企画／事業統括アシスタント
86,87,事務／アシスタント,金融事務,金融事務（銀行・証券）
87,88,事務／アシスタント,金融事務,金融事務（生保・損保）
88,89,事務／アシスタント,金融事務,その他金融事務
89,90,事務／アシスタント,医療事務,医療事務
90,91,事務／アシスタント,秘書・受付,秘書
91,92,事務／アシスタント,秘書・受付,受付
92,93,事務／アシスタント,通訳・翻訳,通訳・翻訳
93,94,事務／アシスタント,営業事務・一般事務,営業事務・アシスタント
94,95,事務／アシスタント,営業事務・一般事務,一般事務・アシスタント
95,96,販売／サービス,店舗・販売,店長
96,97,販売／サービス,店舗・販売,販売・接客・売り場担当
97,98,販売／サービス,店舗・販売,ホールスタッフ・フロアスタッフ・調理スタッフ（飲食）
98,99,販売／サービス,店舗開発・施設管理,施設長
99,100,販売／サービス,店舗開発・施設管理,エリアマネジャー・スーパーバイザー
100,101,販売／サービス,店舗開発・施設管理,店舗開発・FC開発
101,102,販売／サービス,美容関連（理美容・エステ・マッサージ・美容部員）,理美容師・その他美容関連
102,103,販売／サービス,美容関連（理美容・エステ・マッサージ・美容部員）,美容部員・エステティシャン・マッサージ
103,104,販売／サービス,旅行関連,旅行手配員・添乗員・ツアーコンダクター
104,105,販売／サービス,宿泊施設・ホテル,施設管理・マネジメント
105,106,販売／サービス,宿泊施設・ホテル,フロント業務・予約受付
106,107,販売／サービス,宿泊施設・ホテル,その他宿泊施設・ホテル関連
107,108,販売／サービス,運輸・物流サービス,道路旅客・貨物運送
108,109,販売／サービス,運輸・物流サービス,航空・鉄道・船舶運送
109,110,販売／サービス,運輸・物流サービス,倉庫業
110,111,販売／サービス,警備／清掃／監視／保守,清掃・警備・守衛
111,112,販売／サービス,テレマーケティング／カスタマーサポート／コールセンター,スーパーバイザー
112,113,販売／サービス,テレマーケティング／カスタマーサポート／コールセンター,カスタマーサポート・ユーザーサポート・オペレータ
113,114,販売／サービス,教育／スクール／研修／塾講師／専門学校／英会話学校,スクール長・マネジャー
114,115,販売／サービス,教育／スクール／研修／塾講師／専門学校／英会話学校,講師・指導員・インストラクター
115,116,販売／サービス,バイヤー／MD,バイヤー・ディストリビューター
116,117,販売／サービス,バイヤー／MD,マーチャンダイザー
